Acceptor,Donor ,DOI,Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),NFA abs max (solutioN),NFA max abs nm (thin film),NFA opt bg,NFA HOMO,NFA LUMO,donor abs solution,donor abs film,donor opt bg,donor HOMO,donor LUMO
IT-4F,PBN-S,10.1039/C8EE03608J,0.891,21.03,69.9,13.1,,,,-5.66,-4.14,,,,-5.48,-3.52
IT-4F,PBF-SF,10.1039/C8TA05207G,0.8,21.53,60.6,10.51,,,,-5.66,-4.14,,,,-5.46,-3.58
IT-4F,PBT-F,10.1039/C8TA05207G,0.78,21.57,54.5,9.14,,,,,,,,,-5.39,-3.65
IT-4F,PBZ,10.1039/C8TA10662B,0.6,17,63.2,6.4,,,,-5.69,-4.07,,,,-5.18,-3.22
IT-4F,PBZ-Cl,10.1039/C8TA10662B,0.8,17.7,68.3,9.7,,,,,,,,,-5.39,-3.41
IT-4F,PBZ-ClSi,10.1039/C8TA10662B,0.93,19.2,71.5,12.8,,,,,,,,,-5.56,-3.5
IT-4F,PBT-Cl,10.1039/C8TA10923K,0.782,21.03,70,11.6,,,,-5.66,-4.14,,,,-5.51,-3.6
IT-4F,PBT-F,10.1039/C8TA10923K,0.778,21.73,54.5,9.14,,,,,,,,,-5.39,-3.65
IT-4F,PFOPB,10.1039/C8TA11006A,0.89,20.4,64.5,11.7,,,,,,,,,-5.5,-3.64
IT-4F,POPB,10.1039/C8TA11006A,0.72,16.8,51.2,6.2,,,,-5.69,-4.07,,,,-5.38,-3.57
IT-4F,PBDS-TZ,10.1039/C8TA12224E,0.804,20.05,73.1,12.01,,,,-5.66,-4.14,,,,-5.41,-3.46
IT-4F,PDBT-2Cl,10.1039/C9QM00212J,0.99,15.1,42,6.2,,,,,,562,554,1.92,-5.49,-3.59
IT-4F,PDBT-2F,10.1039/C9QM00212J,0.87,20.6,57,10.2,,,,,,576,579,1.82,-5.43,-3.61
IT-4F,PDBT-Cl,10.1039/C9QM00212J,0.82,22.3,69,12.6,,,,,,583,583,1.83,-5.41,-3.56
IT-4F,PDBT-F,10.1039/C9QM00212J,0.81,20.9,59,10,,,,,,577,584,1.81,-5.39,-3.57
IT-4F,F1,10.1039/D0TA00098A,0.933,20.6,70,13.5,,,,,,568,577,1.97,-5.5,-3.53
IT-4F,PBB-Cl,10.1039/D0TA04734A,0.94,21.8,72.5,14.8,,,,,,528,580,2,-5.64,-3.64
IT-4F,PBB-F,10.1039/D0TA04734A,0.92,22.4,71.1,14.7,,,,,,529,579,2,-5.57,-3.57
IT-4F,PBB-H,10.1039/D0TA04734A,0.82,21.5,67.8,12,,,,-5.7,-4.15,572,580,2,-5.47,-3.47
IT-4F,PCE10-2Cl,10.1039/D0TA11203H,0.822,18.13,71.94,10.72,,,,,,,,,-5.5,-3.93
IT-4F,PCE10-2F,10.1039/D0TA11203H,0.785,11.12,42.5,3.71,,,,,,,,,-5.47,-3.9
IT-4F,PCE10-SF,10.1039/D0TA11203H,0.682,8.48,41.5,2.4,,,,-5.66,-4.14,,,,-5.53,-3.76
IT-4F,PM6,10.1039/D0TA11203H,0.841,19.49,71.19,11.33,,,,,,,,,,
IT-4F,J100,10.1039/D0TC03095C,0.85,17.5,46,7.7,,,,,,,,1.95,-5.35,-3
IT-4F,J101,10.1039/D0TC03095C,0.93,18.2,67,11.1,,,,,,,,1.96,-5.47,-2.97
IT-4F,J71,10.1039/D0TC03095C,0.79,19.9,52,8.16,,,,,,,,1.96,-5.31,-2.94
IT-4F,J71-Cl,10.1039/D0TC03095C,0.87,18.41,69,11.1,,,,,,,,1.96,-5.33,-2.98
IT-4F,PCl(3)BDB-T,10.1002/anie.201807865,0.88,0.88,23.74,0.18,,,,,,,,,,
IT-4F,PCl(4)BDB-T,10.1002/anie.201807865,0.84,20.6,71.09,12.33,,,,,,,,,,
IT6-4F,PBTB-TF,10.1039/D0TA03985C,0.9,16.69,72.1,10.8,679,709,1.53,-5.69,-3.99,,,,-5.45,-3.64
ITBC,PBDB-T,10.1021/acsami.9b08462,0.94,19.9,64.51,12.07,664,691,1.59,-5.49,-3.9,,,,,
IT-BN-ICN,PBDB-TF,10.1021/acsaem.1c01872,0.87,17.54,73.23,11.14,,750,1.51,-5.59,-4.08,,,,,
IT-BT-CN,PBDB-TF,10.1021/acsaem.1c01872,1,16.38,62.47,10.2,,712,1.57,-5.53,-3.96,,,,,
ITBTR-C,PBDB-T,10.1021/acsaem.8b00851,0.89,14.94,58.21,8.26,,,,,,,,,,
ITBTR-C6,PBDB-T,10.1021/acsaem.8b00851,0.88,16.3,64.18,9.29,654,711,1.52,-5.3,-3.71,,,,,
ITC-2Cl,PBDB-TF,10.1002/aenm.201900041,0.91,20.1,74.1,13.6,709,746,1.58,-5.58,-4.01,,,,,
ITC6-IC,PBDB-T,10.1002/adfm.201705095,0.97,16.41,73,11.61,677,709,1.6,-5.73,-3.92,,,,,
ITCC,PBDB-T,10.1002/adma.201700254,1.01,15.9,71,11.4,,,,,,,,,,
ITCC-Br,PBDB-T-2Cl,10.1016/j.orgel.2021.106357,1.04,15.9,63.8,10.5,,,,,,,,,,
ITCC-Br,PBDB-TF,10.1016/j.orgel.2021.106357,0.99,16.2,64.9,10.7,,,1.64,-5.74,-3.91,,,,,
ITCC-Cl,PBDB-T-2Cl,10.1002/adfm.202102189,1.04,16.7,65.7,11.4,,,1.66,-5.4,-3.78,,,,,
ITCC-Cl,PBDB-TF,10.1002/adfm.202102189,1.01,17,64.9,11.2,,,,,,,,,,
ITCC-M,PBDB-T-2Cl,10.1002/adfm.202102189,1.19,12.5,58.9,9,,,1.72,-5.35,-3.69,,,,,
ITCC-M,PBDB-TF,10.1002/adfm.202102189,1.16,13.8,58.8,9.3,,,,,,,,,,
ITCC-M,PBDB-T,10.1021/jacs.7b01493,1.03,14.8,66.3,10.1,,,,-5.5,-3.67,,,,-5.33,-3.53
ITCF,J71,10.1021/acs.chemmater.8b05327,0.91,18.48,78.8,13.25,683,718,1.57,-5.59,-3.95,,,,,
ITCPTC,J71,10.1002/adma.201706124,0.896,17.52,74.1,11.63,678,720,1.58,-5.54,-3.45,,,,-5.4,-3.24
ITCPTC,PTBB-m,10.1002/aenm.201802686,0.96,18.11,70.2,12.22,,,,,,,600,1.88,-5.48,-3.42
ITCPTC,PTBB-o,10.1002/aenm.201802686,1,8.43,36.6,3.09,,,,-5.62,-3.96,,656,1.89,-5.52,-3.37
ITCPTC,PTBB-p,10.1002/aenm.201802686,0.91,15.76,65.2,9.36,,,,,,,623,1.84,-5.41,-3.49
ITCPTC,PBDB-TF,10.1002/aenm.201900041,0.95,17.6,73.4,12.3,676,715,1.65,-5.62,-3.96,,,,,
ITCPTC,PBT1-EH,10.1002/solr.201700044,0.95,16.5,75.1,11.8,678,720,1.58,-5.62,-3.96,,,,-5.43,-3.43
ITCPTC,PBDB-TF,10.1021/acsenergylett.0c01364,0.964,17.285,73.8,12.31,,,,-5.65,-3.95,,,,,
ITCT,PBDB-T,10.1016/j.cclet.2017.11.018,0.85,17.88,72.3,11.27,,,,,,,,,,
IT-DM,PBDB-T,10.1002/adma.201602776,0.97,16.48,71,12.5,,,1.63,-5.56,-3.93,,,,-5.33,-3.53
IT-DM,J71,10.1021/acs.chemmater.8b05327,1.015,16.74,70.9,12.05,669,694,1.63,-5.58,-3.82,,,,-5.4,-3.24
IT-DOH,PBDB-T,10.1002/aenm.201903650,0.87,18.04,70,10.4,667,732,1.53,-5.58,-3.93,,,,,
IT-DOH,PBDB-T-2F,10.1002/aenm.201903650,0.96,17.78,73,11,,,,,,,,,,
IT-F,P2F-EHp,10.1038/s41560-018-0263-4,0.959,16.91,61.93,10.06,,,,-5.66,-3.95,,,,,
ITIC,PBDT-NQx,10.1002/adfm.201701491,0.87,16.21,64.6,9.11,,,,-5.48,-3.83,624,632,1.8,-5.24,-3.42
ITIC,PBDTS-NQx,10.1002/adfm.201701491,0.92,17.86,69.8,11.47,,,,,,628,636,1.81,-5.31,-3.46
ITIC,PBDB-T,10.1002/adfm.201705095,0.91,16.27,69,10.21,677,714,1.58,-5.68,-4.01,,,,,
ITIC,PB2T,10.1002/adfm.201706517,0.56,0.08,26,0.01,,,,,,,,,,
ITIC,PBDT-S-2TC,10.1002/adfm.201706517,0.96,16.4,64.3,10.12,,,,-5.51,-3.84,,,,-5.47,-3.58
ITIC,PBDB-T,10.1002/adma.201600281,0.899,16.81,74.2,11.21,,,,-5.51,-3.78,,,,-5.3,-2.92
ITIC,J50,10.1002/adma.201601595,0.71,12.93,53,4.8,,,,,,,,,,
ITIC,J51,10.1002/adma.201601595,0.82,16.47,69,9.26,,,,,,,,,,
ITIC,P3HT,10.1002/adma.201601803,0.52,4.22,56.93,1.25,,,,,,,,,-5.06,-2.76
ITIC,PDCBT,10.1002/adma.201601803,0.94,16.5,65.67,10.16,,,,-5.58,-3.91,,,,-5.31,-3
ITIC,PBQ-0F,10.1002/adma.201604241,0.69,16.16,59.91,6.68,,,,,,,,,,
ITIC,PBQ-4F,10.1002/adma.201604241,0.95,17.87,66.8,11.34,,,,,,,,,,
ITIC,PBQ-QF,10.1002/adma.201604241,0.83,17.16,62.49,8.9,,,,,,,,,,
ITIC,PTzBI,10.1002/adma.201606396,0.87,18.29,64.34,10.24,,,,,,,,,-5.34,-3.46
ITIC,PTzBI-DT,10.1002/adma.201606396,0.91,16.84,31.53,9.43,,,,-5.51,-3.78,,,,-5.39,-3.51
ITIC,PTB7-Th,10.1002/adma.201702547,0.84,15.43,68,8.79,,,,,,,,,,
ITIC,PBDTS-TDZ,10.1002/adma.201703973,1.1,17.78,65.4,12.8,,,,,,,,,-5.39,-2.8
ITIC,PBDT-TDZ,10.1002/adma.201703973,1.01,17.15,67.7,11.72,,,,-5.48,-3.83,,,,-5.35,-2.78
ITIC,PBDB-T,10.1002/adma.201705209,0.89,17,66,10,,,,-5.64,-3.92,,,,,
ITIC,PFBDB-T,10.1002/adma.201705209,0.95,18.5,66,11.71,,,,,,,,,,
ITIC,PBDTS-DTBTO,10.1002/aenm.201600742,0.843,16.6,64.97,9.09,,,,-5.48,-3.83,,,,-5.24,-3.6
ITIC,3MT-Th,10.1002/aenm.201700566,0.95,17.01,60.08,9.73,,,,-5.69,-4.11,,,,-5.42,-3.4
ITIC,J81,10.1002/aenm.201700746,0.95,15.27,73.1,10.6,,,,,,,,,-5.43,-2.98
ITIC,PBDTNO-BDD,10.1002/aenm.201702489,0.87,13.49,60.05,7.05,,,,-5.51,-3.85,,,,-5.27,-3.44
ITIC,PBDTNS-BDD,10.1002/aenm.201702489,0.94,14.86,66.47,9.28,,,,,,,,,-5.35,-3.54
ITIC,PBDB-T,10.1002/aenm.201903650,0.87,14.45,57,7.8,,,,,,,,,,
ITIC,PTIBT,10.1002/ajoc.202000172,0.66,15.19,57,5.72,,576,1.8,-5.41,-3.61,,,,-5.41,-3.61
ITIC,PBZ,10.1002/solr.201700020,0.79,17.2,59,8,,,,,,,,,-5.18,-3.22
ITIC,PFBZ,10.1002/solr.201700020,0.9,18.8,62,10.4,,,,-5.48,-3.83,,,,-5.36,-3.42
ITIC,PBT1-EH,10.1002/solr.201700044,0.99,15.7,63.4,9.8,665,705,1.6,-5.61,-3.93,,,,,
ITIC,PBDT-Se-TAZ,10.1002/solr.201800186,0.81,18.63,66.7,10.07,,,,-5.48,-3.83,583,597,1.92,-5.23,-3.43
ITIC,PBDTS-Se-TAZ,10.1002/solr.201800186,0.84,19.51,75.1,12.31,,,,,,592,602,1.9,-5.29,-3.52
ITIC,PBTA-PS,10.1002/solr.201900005,0.94,18.23,69.19,11.85,,,,,,,,,-5.34,-3.4
ITIC,PBTA-PSF,10.1002/solr.201900005,1.01,18.51,74.4,13.91,,,,,,,,,-5.52,-3.54
ITIC,PBDTSF-TZNT,10.1016/j.isci.2018.12.027,0.98,17.58,70.6,12.16,,,,,,,,,-5.45,-3.41
ITIC,PBDTS-TZNT,10.1016/j.isci.2018.12.027,0.94,16.92,65.7,10.45,,,,-5.55,-3.8,,,,-5.39,-3.3
ITIC,PDCBT-Cl,10.1016/j.joule.2020.04.014,1.02,10.8,65.9,7.25,,,,,,,,,,
ITIC,PffQx-PS,10.1016/j.nanoen.2016.10.008,0.97,14.96,62.9,9.12,,,,,,,,,-5.4,-3.55
ITIC,PffQx-T,10.1016/j.nanoen.2016.10.008,0.87,16.33,59.6,8.47,,,,-5.48,-3.83,,,,-5.36,-3.56
ITIC,PTZ6,10.1016/j.nanoen.2017.03.013,1.01,14.1,72.3,10.3,,,,-5.48,-3.83,,,,-5.36,-3.36
ITIC,PBPD-Th,10.1016/j.nanoen.2017.07.047,1.01,18.1,59,10.8,,,,-5.6,-3.85,,,,-5.42,-3.36
ITIC,J46,10.1016/j.orgel.2018.03.028,0.74,7.38,42.7,2.34,,,,,,,,,,
ITIC,J47,10.1016/j.orgel.2018.03.028,0.96,15.59,60,9.01,,,,,,,,,,
ITIC,P(T4-DPP-M),10.1016/j.orgel.2019.02.020,0.69,6.7,46,2.2,,,,,,,,1.4,-5.4,-4
ITIC,P(T4-iI-M),10.1016/j.orgel.2019.02.020,0.76,7.3,40,2.4,,,,,,,,1.55,-5.5,-3.9
ITIC,P(T4-TPD-M),10.1016/j.orgel.2019.02.020,1,6.8,57,4,,,,,-4.1,,,1.84,-5.6,-3.8
ITIC,PTBTz-2,10.1021/acs.chemmater.7b01650,0.88,20.34,60.5,10.92,,,,-5.63,-3.97,,,,-5.48,-3.52
ITIC,asy-PBDBTN,10.1021/acs.chemmater.7b02495,0.942,16.81,66.3,10.5,,,,-5.6,-3.93,,,,-5.41,-3.58
ITIC,PBDB-T,10.1021/acs.chemmater.7b02853,0.92,16.1,71,10.6,,,,,,,,,,
ITIC,PTB7-Th,10.1021/acs.chemmater.7b02853,0.82,15.18,57,7.28,,,1.6,-5.43,-3.81,,,,-5.2,-3.59
ITIC,J52,10.1021/acs.jpclett.8b03247,0.803,10.87,43.2,3.78,,,,,,,,1.93,-5.22,
ITIC,J52-2Cl,10.1021/acs.jpclett.8b03247,0.956,17.17,70.2,11.53,,,,,,,,1.94,-5.38,
ITIC,PBDT-DTN,10.1021/acs.macromol.6b02733,0.92,13.8,65,8.3,,,,,,538,572,1.84,-5.37,-3.53
ITIC,PIDT-DTN,10.1021/acs.macromol.6b02733,0.97,3.8,29,1.1,,,,,,544,542,1.89,-5.37,-3.48
ITIC,J62,10.1021/acs.macromol.8b01036,0.915,16.85,70.09,10.81,,,,,,,,1.92,-5.31,-3.08
ITIC,J63,10.1021/acs.macromol.8b01036,0.868,15.72,59.58,8.13,,,,,,,,1.92,-5.28,-3.04
ITIC,J64,10.1021/acs.macromol.8b01036,0.889,15.4,62.71,8.59,,,,-5.48,-3.83,,,1.92,-5.33,-3.09
ITIC,PBCIT,10.1021/acsaem.8b00506,1.01,13.95,60.05,8.46,,,,-5.48,-3.83,691,695,1.64,-5.47,-3.61
ITIC,PBT7-Th,10.1021/acsaem.8b00506,0.82,14.76,57.09,6.91,,,,,,701,705,1.61,-5.27,-3.48
ITIC,HFQx-T,10.1021/acsami.7b03947,0.92,15.59,65,9.4,,,,-5.48,-3.83,604,601,1.76,-5.45,-3.5
ITIC,PBDB-TS,10.1021/acsami.7b11488,0.92,16.63,64.7,9.85,,,,,,,,,,
ITIC,m-PBDTPS-FTAZ,10.1021/acsami.9b07112,0.95,18.76,73.85,13.16,,,,,,567,579,2,-5.4,-3.4
ITIC,p-PBDTPS-FTAZ,10.1021/acsami.9b07112,0.89,18.12,67.37,10.86,,,,-5.6,-3.85,583,589,1.96,-5.32,-3.36
ITIC,PBDB-T,10.1021/acsami.9b08462,0.92,16.75,65.23,10.05,664,705,1.59,-5.61,-4.01,,,,,
ITIC,PTQ10,10.1021/acsami.9b22666,1.03,17.65,60.01,10.9,,,,,,,,,,
ITIC,PBTCl,10.1021/acsenergylett.7b00551,0.91,14.53,58,7.57,,,,-5.51,-3.78,,,,-5.43,-3.55
ITIC,PTB7-Th,10.1021/acsenergylett.7b00551,0.8,14.34,58,6.62,,,,,,,,,-5.29,-3.72
ITIC,PTB7-Th,10.1021/acsenergylett.8b00366,0.825,14.4,66,7.8,,,,-5.47,-3.76,,,,-5.02,-3.44
ITIC,J52,10.1021/jacs.6b01744,0.73,13.11,57.8,5.51,,,,,,,590,1.96,-5.21,-3.08
ITIC,J60,10.1021/jacs.6b01744,0.91,16.33,60.38,8.97,,,,,,,598,1.93,-5.32,-3.08
ITIC,J61,10.1021/jacs.6b01744,0.89,17.43,61.5,9.53,,,,,,,600,1.93,-5.32,-2.99
ITIC,J61,10.1021/jacs.6b09110,0.898,17.97,65.49,10.57,,,1.59,-5.54,-3.84,,,,,
ITIC,PBDB-T,10.1021/jacs.7b01493,0.908,17,37.2,10.4,,,,-5.53,-3.87,,,,,
ITIC,PTFB-O,10.1038/ncomms13094,0.92,15.5,70,10.13,,,,,,,,,,
ITIC,PTFB-P,10.1038/ncomms13094,0.92,12.8,65,7.85,,,,,,,,,,
ITIC,J71,10.1038/ncomms13651,0.94,17.32,69.77,11.41,,,,-5.51,-3.84,,,,-5.4,-3.24
ITIC,P2F-EH,10.1038/s41560-018-0263-4,0.983,12.4,50.48,6.13,,,,-5.64,-3.89,,,,-5.36,-3.04
ITIC,P2F-Ehp,10.1038/s41560-018-0263-4,1.017,13.02,54.79,7.28,,,,,,,,,,
ITIC,P2F-EO,10.1038/s41560-018-0263-4,1.013,12.65,52.53,6.73,,,,,,,,,-5.41,-3.08
ITIC,PBT-S-TTz,10.1039/C6TA03288E,0.971,14.93,56.69,8.22,,,,,,597,597,1.95,-5.45,-3.5
ITIC,PBT-TTz,10.1039/C6TA03288E,0.949,11.49,65.68,7.16,,,,,,589,589,1.95,-5.41,-3.46
ITIC,PBDB-T,10.1039/C7TA01554B,0.87,16.11,64,9.05,,,,-5.55,-4,,,,,
ITIC,J52,10.1039/C7TA06476D,0.73,13.1,57.8,5.5,,,,,,,,,,
ITIC,PBFZ-OP,10.1039/C7TA06476D,0.91,18.7,61.8,10.5,,,,-5.6,-3.85,,,,-5.33,-3.01
ITIC,FTAZ,10.1039/C7TA07882J,0.91,16.25,56.5,8.37,,,,,,,,,-5.48,-3.47
ITIC,HTAZ,10.1039/C7TA07882J,0.85,13.09,40.8,4.26,,,,-5.64,-4.04,,,,-5.42,-3.44
ITIC,2D-PBTCl,10.1039/C7TA09837E,0.91,15.79,61.32,8.81,,,,-5.48,-3.83,625,627,1.72,-5.45,-3.6
ITIC,2D-PBTCl2,10.1039/C7TA09837E,0.87,14.52,58.43,7.38,,,,,,593,642,1.66,-5.43,-3.63
ITIC,PTB7-Th,10.1039/C7TA09837E,0.82,14.76,57.09,6.91,,,,,,,,,-5.38,-3.7
ITIC,PBDB-T,10.1039/C7TA10136H,0.83,0.07,35,0.02,679,702,1.58,-5.67,-4.03,,,,,
ITIC,TTFQx-T1,10.1039/C7TA10262C,0.9,16.8,69.24,10.52,,,,-5.48,-3.83,606,652,1.69,-5.31,-3.62
ITIC,PBZ1,10.1039/C7TA11059F,0.74,15.7,49.8,5.8,,,,,,,,,-5.27,-3.06
ITIC,PBZ-m-CF3,10.1039/C7TA11059F,0.94,18.4,60.2,10.4,,,,-5.6,-3.85,,,,-5.49,-3.22
ITIC,PBDTTAZ-NaPh,10.1039/C8TA07134A,0.936,18.21,67.8,11.56,,,,-5.51,-3.84,,,,-5.44,-3.49
ITIC,PBDB-T,10.1039/C8TA12530A,0.87,17.24,63.33,9.53,679,709,1.61,-5.61,-4.02,,,,-5.21,-3.41
ITIC,J101 (actually J100),10.1039/C9TA03272J,0.951,17.7,73.65,12.47,,,,-5.56,-3.79,,,,,
ITIC,PBDD4T,10.1021/acs.macromol.6b00248,0.88,2.04,25,0.45,,,,,,,,,,
ITIC,PBDD4T-2F,10.1021/acs.macromol.6b00248,0.94,15.04,61,8.69,,,,,,,,,,
IT-IC,J71,10.1002/solr.201700107,0.96,14.8,63.6,9,,709,1.59,-5.58,-3.88,,,,,
ITIC-0F,PBDB-TF,10.1021/jacs.8b13653,1,15.1,57.6,8.72,668,708,1.59,-5.7,-4,,,,,
ITIC1,FTAZ,10.1002/adma.201702125,0.921,16.45,56.4,8.54,702,734,1.55,-5.48,-3.84,,,,,
ITIC1,J71,10.1039/C8TA05800H,0.921,15.74,62,8.99,702,734,1.55,-5.48,-3.86,,,,,
ITIC2,FTAZ,10.1002/adma.201702125,0.92,18.63,63,11,714,738,1.53,-5.43,-3.8,,,,,
ITIC-2Cl-beta,PBDB-T2F,10.1021/acs.jpclett.9b01931,0.94,18.47,64.63,11.21,,,,,,,,,,
ITIC-2F,PTB7-Th,10.1002/aenm.201801209,0.748,16.2,80,8.7,687,721,1.56,-5.55,-4.15,,,,,
ITIC-2F,PBDB-TF,10.1021/jacs.8b13653,0.92,17.3,65.7,10.38,676,722,1.56,-5.76,-4.07,,,,,
ITIC3,PTB7-Th,10.1002/adma.201705969,0.763,16.8,63.1,8.09,686,734,1.55,-5.54,-3.9,,,,,
ITIC-3F,PBDB-TF,10.1021/jacs.8b13653,0.89,19.4,66.5,11.44,685,730,1.54,-5.73,-4.12,,,,,
ITIC4,PTB7-Th,10.1021/acs.chemmater.7b04251,0.687,16.66,71.5,8.18,690,730,1.52,-5.77,-3.97,,,,,
ITIC-4F,PTB7-Th,10.1021/acs.jpclett.9b03502,0.663,18.2,74.9,9.03,,,,-5.9,-4.32,,,,-4.98,-3.34
ITIC-4F,PBDB-TF,10.1021/jacs.8b13653,0.83,18.3,68.4,10.39,682,728,1.55,-5.74,-4.15,,,,,
ITIC5,J71,10.1039/C8TA05800H,0.897,18.48,75.5,12.5,718,744,1.53,-5.48,-3.95,,,,,
ITIC-6F,PBDB-TF,10.1021/jacs.8b13653,0.82,21.6,67.4,11.89,695,745,1.51,-5.78,-4.16,,,,-5.66,-3.81
ITIC-C9,PBDB-T,10.1021/acs.chemmater.7b04616,0.87,15.1,68.7,9.01,,,,-5.78,-3.97,,,,-5.52,-3.68
ITIC-C9,PBDB-TF,10.1021/acs.chemmater.7b04616,0.99,14.5,66.6,9.53,,,,,,,,,-5.66,-3.81
ITIC-Cl4,PBDB-T,10.1039/C8TC02701C,0.74,21.5,60,9.6,,,,-5.5,-3.9,,,,-5.2,-3
ITIC-F,P104,10.1021/acsaem.9b01726,0.83,15.92,63,8.32,,,,,,651,657,1.59,-5.29,-3.68
ITIC-F,P105,10.1021/acsaem.9b01726,0.91,17.47,67,10.65,,,,,,647,652,1.66,-5.38,-3.62
ITIC-F,T-EHPPD-T-EHBDT,10.1039/D0NJ04573J,0.773,17.2,56,7.39,,,,,,,691,1.79,-5.47,-3.68
ITIC-OE,PBDB-T,10.1039/C7TA10136H,0.85,14.8,67,8.5,671,718,1.58,-5.67,-4.03,,,,,
ITIC-SC2C6,PBDB-ST,10.1021/acsami.7b09915,0.92,15.32,64,9.16,,,,-5.74,-3.86,,,,-5.37,-3.59
ITIC-Th,PffBT4T,10.1002/aenm.201602304,0.858,13.47,57.1,6.6,,,,,,,,,-5.36,-3.71
ITIC-Th,PffBT4T-B,10.1002/aenm.201602304,0.972,15.59,61.8,9.4,,,,-5.66,-3.93,,,,-5.61,-3.58
ITIC-Th,PffBT4T-2DT,10.1002/aenm.201701674,0.85,13.32,56.9,6.6,,,,,,,,,-5.24,-3.59
ITIC-Th,PTB7-Th,10.1002/aenm.201701674,0.8,16.07,67.2,8.5,,,,,,,,,-5.2,-3.56
ITIC-Th,PTFB-O,10.1002/aenm.201701674,0.93,17.1,67.9,10.9,,,,,,,,,-5.36,-3.36
ITIC-Th,PTFB-P,10.1002/aenm.201701674,0.93,15.5,64.5,9.2,,,,-5.66,-3.93,,,,-5.32,-3.33
ITIC-Th,PB24-TTDC,10.1002/solr.201800291,0.902,16.8,68,10.3,,,,-5.66,-3.93,,556,1.91,-5.36,-3.58
ITIC-Th,PB68-3TDC,10.1002/solr.201800291,0.994,12.2,65,7.88,,,,,,,555,1.92,-5.41,-3.57
ITIC-Th,PDBT-T1,10.1021/jacs.6b02004,0.88,16.24,67,9.6,,,,,,,,,-5.36,-3.43
ITIC-Th,PTB7-Th,10.1021/jacs.6b02004,0.8,15.93,68,8.7,,,,-5.66,-3.93,,,,-5.2,-3.56
ITIC-Th,PTFB-O,10.1038/ncomms13094,0.92,17.1,67,10.88,,,,,,,,,,
ITIC-Th,FTAZ,10.1039/C7QM00547D,0.915,15.84,61.26,8.88,668,706,1.6,-5.66,-3.93,,,,,
ITIC-Th1,PDCBT-Cl,10.1016/j.joule.2020.04.014,0.94,18.3,70,12.11,,,,,,,,,,
ITIC-Th1,FTAZ,10.1039/C7QM00547D,0.849,19.33,73.73,12.1,677,728,1.55,-5.74,-4.01,,,,,
ITIC-Th1,PDCBT,10.1021/acs.macromol.9b00793,0.89,16.6,55.2,8.14,,,,,,483,600,1.9,-5.2,-2.9
ITIC-Th1,PDCBT-2Cl,10.1021/acs.macromol.9b00793,0.99,13.54,51.8,6.94,,,,,,486,585,1.95,-5.44,-3
ITIC-Th1,PDCBT-2F,10.1021/acs.macromol.9b00793,0.98,15.32,56.5,8.48,,,,,,501,592,1.92,-5.4,-3.03
ITIC-Th1,PDCBT-Cl,10.1021/acs.macromol.9b00793,0.94,18.5,71.2,12.38,,,,,,491,599,1.91,-5.34,-3.01
ITIC-Th1,PDCBT-F,10.1021/acs.macromol.9b00793,0.93,17.52,66.2,10.85,,,,,,501,594,1.93,-5.32,-2.98
ITIC-Th2,FTAZ,10.1039/C7QM00547D,0.751,17.19,70.07,9.06,680,735,1.54,-5.75,-4.07,,,,,
ITIC-Th3,FTAZ,10.1039/C7QM00547D,0.962,16.34,68.33,10.7,664,698,1.63,-5.67,-3.73,,,,,
IT-M,PBDB-T,10.1002/adma.201602776,0.94,17.44,74,12.05,,,1.6,-5.58,-3.98,,,,,
IT-M,PBDB-TF,10.1002/adma.201707170,0.87,20.38,77,13.7,,,,-5.58,-3.93,,,,-5.54,-3.65
IT-M,FTAZ,10.1002/aenm.202000823,0.95,16.3,64,9.8,,,,,,,,,,
IT-M,PBDB-T,10.1016/j.joule.2018.11.011,0.91,16.3,71.4,11,,,,-5.6,-4,,,,-5.3,-3.5
IT-M,PB2T,10.1039/C6EE03489F,0.56,0.08,26,0.01,,,,,,413,416,2.24,-5.63,-3.63
IT-M,PB3T,10.1039/C6EE03489F,1,18.9,63,11.9,,,,-5.58,-3.96,534,540,1.96,-5.39,-3.37
IT-M,PDCBT-2F,10.1039/C6TA07672F,1.13,10.43,55.7,6.6,,,,-5.56,-3.97,,,,-5.59,-3.69
IT-M,PBDB-BzT,10.1039/C8TA00368H,0.96,17.97,70,12.1,,,,,,,,,,
IT-M,PBDB-T-BO,10.1039/C8TA00368H,0.97,15.77,71,10.78,,,,,,,,,,
IT-M,PDTF-TZNT,10.1016/j.nanoen.2018.08.059,0.8,17.33,72.5,10.05,,,,,,597,617,1.84,-5.24,-3.23
IT-M,PDTH-TZNT,10.1016/j.nanoen.2018.08.059,0.75,10.15,58.1,4.42,,,,-5.58,-3.98,527,541,1.94,-5.16,-3.1
ITN-C9,PBDB-TF,10.1073/pnas.1807535115,0.92,15.68,64.5,9.33,,,,-5.78,-3.92,,,,,
IT-OH,PBDB-T,10.1002/aenm.201903650,0.89,16.71,70,7.8,666,725,1.54,-5.57,-3.92,,,,,
ITOIC,PBDB-T,10.1021/acs.chemmater.8b01319,1.024,15.73,55.1,8.87,,,,,,,,,,
ITOIC-2F,PBDB-T,10.1021/acs.chemmater.8b01319,0.897,21.04,64.5,12.17,,,,,,,,,,
ITOIC-F,PBDB-T,10.1021/acs.chemmater.8b01319,0.946,18.6,60.5,10.65,,,,,,,,,,
