Molecule,Reference,A (acceptor) or D (donor),max abs solution,max abs film,opt bg,HOMO,LUMO
PF2-DTC,Fan_10.3%_2020,A,,,,-5.76,-3.9
PF2-DTC,Fan_mechanically_2020,A,,,,-5.76,-3.9
PF2-DTGe,Fan_mechanically_2020,A,,,,-5.78,-3.9
PF2-DTSi,Fan_mechanically_2020,A,,,,-5.74,-3.87
PF3-DTC,Fan_10.3%_2020,A,,,,-5.73,-3.91
PF3-DTCO,Fan_10.3%_2020,A,,,,-5.71,-3.95
PFA1,Peng_a universal_2020,A,,815,1.41,-5.74,-3.84
PFBDB-T,Fei_an alkylated_2018,D,,,,-5.47,-3.46
PFBDT-IDTIC,Yao_efficient_2019,A,,,,-5.78,-3.85
PFBZ,Fan_high-performance Non-Fullerene_2017,D,,,,-5.36,-3.42
PFBZ,Su_efficient_2018,D,,,,-5.36,-3.42
PffBT4T,Chen_surprising_2017,D,,,,-5.36,-3.71
PffBT4T-2DT,Baran_reduced_2016,D,,,,-5.34,-3.7
PffBT4T-2DT,Hu_influence_2018,D,,,,-5.24,-3.59
PffBT4T-B,Chen_surprising_2017,D,,,,-5.61,-3.58
PffBT-DPP,Pan_efficient_2020,D,,,,-5.66,-3.56
PffQx-PS,Yuan_tetrafluoroquinoxaline_2016,D,,,,-5.4,-3.55
PffQx-T,Yuan_tetrafluoroquinoxaline_2016,D,,,,-5.36,-3.56
PffT2-FTAZ-2DT,Lin_high-performance_non-fullerene_2015,D,,620,1.91,-5.28,-3.37
PFOPB,Li_a wide_2019,D,,,,-5.5,-3.64
P-FP,Zheng_achieving_2021,D,,,,-5.54,-3.61
P-FT,Zheng_achieving_2021,D,,,,-5.48,-3.48
Ph-DTDP-IC,Yang_molecular_2018,A,673,701,1.61,-5.53,-4
Ph-DTDP-TIC,Yang_molecular_2018,A,707,740,1.46,-5.33,-3.89
Ph-DTDP-TTIC,Yang_molecular_2018,A,695,703,1.45,-5.28,-3.92
PhITBD,Kim_a new_2017,A,606,656,1.18,-5.5,-3.78
PI-4F,Lin_noncovalently_2021,A,665,703,1.65,-5.8,-4.06
PI-BT,Bloking_solution-processed_2011,A,,448,2.34,-5.8,-3.3
PIDIC2T,Li_toward_2020,A,691,726,1.54,-5.65,-3.85
PIDIC2T2Cl,Li_toward_2020,A,697,706,1.55,-5.67,-3.87
PIDIC2T2F,Li_toward_2020,A,701,711,1.55,-5.73,-3.89
PIDT-DTN,Yang_investigation_2017,D,544,542,1.89,-5.37,-3.48
p-IDTIDT-IC,Wu_a decacyclic_2019,A,696,721,1.53,-5.42,-3.82
PIDTTDTffBTA,Li_indacenodithieno_2019,D,,,,-5.25,-3.63
P-IDTzR,Ye_combination_2018,A,571,592,1.89,-5.31,-3.42
p-INPOIC,Feng_molecular_2019,A,779,823,1.37,-5.38,-4
p-IO1,Lee_bandgap_2020,A,766,815,1.34,-5.46,-4.13
p-IO2,Lee_bandgap_2020,A,808,880,1.24,-5.44,-4.19
PIST-4F,Lin_noncovalently_2021,A,710,748,1.46,-5.65,-4.03
PJ1-H,Jia_14.4%_2020,A,767,798,1.41,-5.64,-3.82
PMI-F-PMI,Zhang_fluorene_2015,A,533,514,2.2,-5.74,-3.54
PN1,Wu_all-polymer_2019,A,,,,-5.71,-3.85
POPB,Li_a wide_2019,D,,,,-5.38,-3.57
P-P,Zheng_benzo_2021,D,,,,-5.33,-3.39
p-PBDTPS-FTAZ,Chen_revealing_2019,D,583,589,1.96,-5.32,-3.36
PPDT2FBT,Ahn_simple_2019,D,,,,-5.43,-3.67
PT2IC-4Cl,Xia_fine-tuning_2021,A,776,865,1.31,-5.6,-3.9
PT4FB,Liu_donor_2018,D,,,,-5.59,-3.61
PTB4Cl,Wen_simple_2021,A,657,760,1.58,-5.91,-3.93
PTB4F,Wen_simple_2021,A,645,729,1.65,-5.87,-3.89
PTB7,Jung_low-bandgap_2015,D,,,,-5.16,-3.5
PTB7,Zhang_efficient_2017,D,,,,-5.21,-3.36
PTB7-Th,Ahn_simple_2019,D,,,,-5.34,-3.74
PTB7-Th,Bai_efficient_2018,D,,,,-5.15,-3.44
PTB7-Th,Cao_design_2017,D,,,,-5.2,-3.56
PTB7-Th,Chao_synergistic_2018,D,,,,-5.38,-3.7
PTB7-Th,Chen_highly_2019,D,,,,-5.3,-3.33
PTB7-Th,Cheng_efficient_2019,D,,,,-5.2,-3.6
PTB7-Th,Cho_dithienogermole_2020,D,,,,-5.2,-3.6
PTB7-Th,Gao_achieving_2019,D,,,,-5.2,-3.66
PTB7-Th,He_molecular_2018,D,,,,-5.02,-3.44
PTB7-Th,Hu_influence_2018,D,,,,-5.2,-3.56
PTB7-Th,Jia_high_2021,D,,,,-5.22,-3.55
PTB7-Th,Jia_isomeric_2021,D,,,,-5.2,-3.59
PTB7-Th,Khan_impact_2021,D,,,,-5.05,-3.4
PTB7-Th,Ko_excellent_2017,D,,,,-5.2,-3.59
PTB7-Th,Lee_alkyl_2021,D,,,,-5.17,-3.55
PTB7-Th,Lee_bandgap_2020,D,,705,1.58,-5.2,-3.46
PTB7-Th,Lee_design_2018,D,,,,-5.2,-3.61
PTB7-Th,Lee_stable_2019,D,,,,-5.23,-3.63
PTB7-Th,Li_a non-fullerene acceptors with a fully fused_2016,D,,,,-5.22,-3.64
PTB7-Th,Li_high_2017,D,,,,-5.22,-3.84
PTB7-Th,Li_molecular_2019,D,,,,-5.39,-3.12
PTB7-Th,Li_near-infrared_2018,D,,,,-5.22,-3.21
PTB7-Th,Li_non-fullerene_2016,D,,,,-5.22,-3.64
PTB7-Th,Li_non-fullerene_2017,D,,,,-5.22,-3.64
PTB7-Th,Li_thermally_2017,D,,,,-5.15,-3.44
PTB7-Th,Liao_construction_2021,D,,,,-5.22,-3.64
PTB7-Th,Lin_high-performance_2016,D,,,,-5.2,-3.56
PTB7-Th,Liu_achieving_2019,D,,,,-5.2,-3.63
PTB7-Th,Liu_efficient_2017,D,,,,-5.2,-3.6
PTB7-Th,Liu_ring-locking_2025,D,,,,-5.27,-3.55
PTB7-Th,Luo_enhanced_2020,D,,,,-5.14,-3.42
PTB7-Th,Luo_semitransparent_2019,D,,,,-5.24,-3.66
PTB7-Th,Ma_angular_2017,D,,,,-5.26,-3.62
PTB7-Th,Qin_non-halogenated_2021,D,,,,-5.27,-3.55
PTB7-Th,Shi_design_2017,D,,,,-5.2,-3.59
PTB7-Th,Tang_cyclopentadithiophene_2018,D,,,,-5.26,-3.62
PTB7-Th,Wang_simultaneous_2017,D,,,,-5.29,-3.72
PTB7-Th,Wu_a decacyclic_2019,D,,,,-5.2,-3.6
PTB7-Th,Xiao_efficient_2018,D,,,,-5.22,-3.63
PTB7-Th,Xiao_substitution_2020,D,,,1.58,-5.23,-3.52
PTB7-Th,Yang_nonfullerene_2020,D,,,,-4.98,-3.34
PTB7-Th,Yao_conformation_2021,D,,,,-5.24,-3.66
PTB7-Th,Yao_dithienopicenecarbazole_2018,D,,,,-5.2,-3.59
PTB7-Th,Ye_wide_2017,D,,,,-5.24,-3.66
PTB7-Th,Yu_significant_2017,D,,,,-5.42,-3.81
PTB7-Th,Zhang_efficient_2017,D,,,,-5.27,-3.55
PTB7-Th,Zhang_nonfullerene_2018,D,,,,-5.22,-3.64
PTB7-Th,Zhang_non-fullerene_2021,D,,,,-5.24,-3.64
PTB7-Th,Zhang_panchromatic_2018,D,,,,-5.2,-3.59
PTB7-Th,Zhong_manipulating_2020,D,,,,-5.18,-3.16
PTB7-Th,Zhu_alkoxy_2018,D,,,,-5.2,-3.56
PTB7-Th,Zuo_tackling_2018,D,,,,-5.2,-3.59
PTBB-m,Xue_steric_2019,D,,600,1.88,-5.48,-3.42
PTBB-o,Xue_steric_2019,D,,656,1.89,-5.52,-3.37
PTBB-p,Xue_steric_2019,D,,623,1.84,-5.41,-3.49
PTBTz-2,Bao_high_2017,D,,,,-5.48,-3.52
PTFB-O,Hu_influence_2018,D,,,,-5.36,-3.36
PTFB-P,Hu_influence_2018,D,,,,-5.32,-3.33
PTIBT,He_D-A polymer_2020,D,,,,-5.41,-3.61
PTIC,Yu_simple_2019,A,650,747,1.53,-5.59,-3.81
PTIC-4Cl,Xia_fine-tuning_2021,A,765,840,1.35,-5.68,-3.91
PTICH,Yu_simple_2019,A,637,709,1.6,-5.62,-3.8
PTICO,Yu_simple_2019,A,647,746,1.56,-5.48,-3.66
PT-IDTIC,Yao_all-polymer_2020,A,,,,-5.79,-3.87
PT-IDTTIC,Yao_all-polymer_2020,A,,,,-5.59,-3.86
PTO2,Yao_14.7%_2019,D,,,,-5.59,-3.67
PTPD,Zhao_bithieno_2020,D,612,613,1.86,-5.05,-3.19
PTPDBDT,Yang_halogenated_2017,D,,,1.85,-5.6,-3.75
PTQ10,Chai_fine-tuning_2021,D,,,,-5.53,-2.81
PTQ10,Li_simplified_2019,D,,,,-5.54,-2.98
PTQ10,Qin_non-halogenated_2021,D,,,,-5.54,-2.98
PTQ10,Sun_a low_2018,D,,,,-5.54,-2.98
PTQ10,Sun_achieving_2019,D,,,,-5.55,-2.9
PTQ10,Sun_high_2020,D,,,,-5.55,-2.9
PTQ10,Yu_modulating_2020,D,,,1.93,-5.53,-2.85
PTQ10,Zhang_accurate_2020,D,,,,-5.6,-3.52
PTQ11,Sun_high_2020,D,,,,-5.52,-2.76
PTQ7,Sun_achieving_2019,D,,,,-5.38,-2.82
PTQ8,Sun_achieving_2019,D,,,,-5.68,-2.92
PTQ9,Sun_achieving_2019,D,,,,-5.41,-2.87
PTT4FB,Liu_donor_2018,D,,,,-5.58,-3.58
PTZ1,Guo_high_2017,D,,,,-5.31,-3.34
PTZ6,Guo_novel_2017,D,,,,-5.36,-3.36
PTzBI,Fan_high-performance nonfullerene polymer_2017,D,,,,-5.34,-3.46
PTzBI-DT,Fan_high-performance nonfullerene polymer_2017,D,,,,-5.39,-3.51
PTzBI-oF,Peng_a universal_2020,D,,,,-5.25,-3.25
PvBDT-Cl,Zhang_efficient_2021,D,580,607,2.04,-5.49,-3.49
PvBDT-F,Zhang_efficient_2021,D,585,616,2.01,-5.44,-3.45
PvBDTTAZ,Chen_awide-bandgap_2017,D,,,,-5.47,-3.42
PY-1,mishra_unprecedented_2017,A,648,750,1.4,-5.27,-4
Py-2F,Li_easily_2021,A,606,645,1.66,-5.85,-3.82
Py-2H,Li_easily_2021,A,594,626,1.69,-5.78,-3.74
PY5-2TZ,Zhou_introducing_2021,A,736,775,1.44,-5.7,-3.76
PY5-BT,Zhou_introducing_2021,A,737,778,1.43,-5.73,-3.78
PY5-BTZ,Zhou_introducing_2021,A,756,775,1.44,-5.67,-3.72
PY5-PZ,Zhou_introducing_2021,A,735,772,1.45,-5.71,-3.75
PY5T,Peng_a universal_2020,A,,792,,-5.71,-3.76
PYTT-1,Wang_highly_2021,A,,,1.49,-5.66,-3.82
PYTT-2,Wang_highly_2021,A,,,1.49,-5.73,-3.83
PYTT-3,Wang_highly_2021,A,,,1.44,-5.76,-3.88
PZ1,Meng_11.2%_2019,A,,,,-5.74,-3.86
PZ-dIDTC6,Zhang_designing_2021,A,683,711,1.57,-5.54,-3.85
QCIC1,Ye_synergistic_2021,A,680,718,1.41,-5.52,-3.8
QCIC3,Ye_synergistic_2021,A,689,739,1.38,-5.52,-3.89
QOC6-4Cl,Huang_facile_2021,A,733,796,1.45,-5.62,-3.87
QOC6-4H,Huang_facile_2021,A,713,763,1.49,-5.59,-3.8
Qx1,Xiao_quinoxaline_2018,A,610,629,1.74,-5.42,-3.6
Qx-10F,Wang_precise_2021,D,612,634,1.69,-5.18,-3.49
Qx-12F,Wang_precise_2021,D,612,642,1.72,-5.22,-3.5
Qx1b,Xiao_quinoxaline_2018,A,631,660,1.68,-5.35,-3.66
QX2,Cai_an asymmetric_2020,D,,,,-5.4,-3.1
Qx3,Xiao_side_2020,A,613,654,1.64,-5.38,-3.56
Qx3b,Xiao_side_2020,A,642,706,1.59,-5.27,-3.63
Qx3c,Xiao_side_2020,A,636,686,1.6,-5.3,-3.59
Qx-8F,Wang_precise_2021,D,597,613,1.66,-5.11,-3.45
R10-4Cl,Qu_multiple_2019,A,715,754,1.43,-5.35,-3.91
R12-4Cl,Qu_multiple_2019,A,721,766,1.35,-5.26,-3.95
SCH3-2F,Wang_high-performance_2021,A,720,759,1.41,-5.5,-4.06
SeCT-IC,Liu_modulating_2021,A,710,745,1.54,-5.53,-3.92
SeTIC,Wang_selenopheno_2018,A,688,712,1.58,-5.55,-3.9
SeTIC4Cl,Wang_selenopheno_2018,A,716,761,1.44,-5.65,-4.08
SFBRCN,Xu_highly_2017,A,,,,-5.93,-3.86
SFBRCN,Zhang_efficient_2017,A,,505,,-5.93,-3.86
SF-HR,Lee_stable_2019,A,475,478,2.2,-5.53,-3.33
SF-OR,Qiu_nonfullerene_2016,A,504,538,2.15,-5.5,-3.25
SIDIC,Cai_effects_2021,A,728,759,1.43,-5.44,-3.93
SJ-IC,Li_insertion_2017,A,,743,1.49,-5.61,-3.94
SM,Ge_improved_2019,D,,,,-5.25,-3.33
SM1,Qiu_all-small-molecule_2017,D,500,566,1.88,-5.24,-2.82
SM1,Qiu_highly_2020,D,,,,-5.25,-2.78
SM1-F,Qiu_highly_2020,D,,,,-5.37,-2.81
SM1-Oct,Shi_effects_2021,D,498,570,1.8,-5.12,-2.8
SM1-S,Qiu_highly_2020,D,,,,-5.32,-2.81
SM2,Qiu_all-small-molecule_2017,D,466,521,2.02,-5.04,-2.7
SM-Cl,Ge_improved_2019,D,,,,-5.42,-3.34
SN6IC,Huang_highly_2018,A,,,,-5.38,-3.93
SN6IC-4F,Huang_highly_2018,A,,,,-5.52,-4.11
SNBDT1-F,Zeng_significantly_2020,A,726,790,1.41,-5.3,-3.83
SSBR,Tang_cyclopentadithiophene_2018,A,659,662,1.53,-5.44,-3.72
SSTI,Lv_influence_2020,A,,866,0.98,-5.71,-4.24
S-WSeSe-Cl,Yang_a synergistic_2021,A,768,853,1.3,-5.66,-3.88
SY1,Liu_asymmetric_2020,A,733,825,,-5.68,-3.95
SY2,Liu_asymmetric_2020,A,739,836,,-5.67,-3.99
SY3,Liu_asymmetric_2020,A,740,838,,-5.69,-3.98
S-YSS-Cl,Yang_a synergistic_2021,A,748,835,1.34,-5.71,-3.85
SZ5,Chai_deciphering_2020,D,,,,-5.5,-2.92
TB-4Cl,Xia_fine-tuning_2021,A,730,810,1.42,-5.81,-3.94
TBTT-BORH,Lee_alkyl_2021,A,540,626,1.83,-5.76,-3.58
TCIC2F,Li_regulating_2021,A,718,772,1.46,-5.59,-3.89
T-EHPPD-T-EHBDT,Knall_pyrrolopyridazinedione,D,,691,1.79,-5.47,-3.68
TfIF-4FIC,Liu_15%_2019,A,,,,-5.71,-3.96
TfIF-IC,Liu_15%_2019,A,,,,-5.51,-3.77
TIDT-BT-R2,Bai_efficient_2018,A,,604,,-5.25,-3.65
TPBT-RCN,Yang_A-DAD-A_2020,A,,,,-5.42,-3.71
TPD3,Li_synthesis_2020,A,,,,-5.65,-3.79
TPD-3,Wu_to fluorinate_2021,D,,,,-5.14,-3.32
TPD-3F,Wu_to fluorinate_2021,D,,,,-5.32,-3.5
TPDC-4F,Luo_electron-deficient_2021,A,717,765,1.42,-5.83,-3.99
TPDCIC,Geng_non-fullerene_2019,A,,,,-5.38,-3.78
TPDCNC,Geng_non-fullerene_2019,A,,,,-5.37,-3.83
TPQ-Cl,Sun_fused-ring_2021,A,,,1.4,-5.64,-4.11
TPQ-F,Sun_fused-ring_2021,A,,,1.43,-5.67,-3.91
TPQx-4F,Zhao_fine-tuning_2020,A,748,813,1.41,-5.57,-3.74
TPQx-6F,Zhao_fine-tuning_2020,A,740,805,1.43,-5.61,-3.78
TPT10,Sun_high_2020,A,,,,-5.52,-3.99
TPT-2F,Song_extension_2018,A,662,698,1.64,-5.84,-4.06
TPTT-2F,Song_extension_2018,A,675,717,1.58,-5.75,-4.04
TPTTT-2F,Song_extension_2018,A,687,724,1.56,-5.69,-4.01
TR2F-IC4F,Shi_the substituents_2021,A,730,820,1.4,-5.57,-3.94
TSeTIC,Liu_achieving high performance_2019,A,710,733,1.53,-5.65,-3.91
TT-FIC,Li_near-infrared_2018,A,,,,-5.42,-4.13
TTFQx-T1,Xu_optimizing_2018,D,606,652,1.69,-5.31,-3.62
TTFQx-T1,Yuan_fused_2019,D,,,,-5.31,-3.62
TTIC,Gao_design_2017,A,750,820,1.38,-5.33,-3.87
TTIC,Liu_achieving high performance_2019,A,690,717,1.58,-5.69,-3.9
TTIC-F,Gao_design_2017,A,756,828,1.35,-5.34,-3.88
TTIC-M,Gao_design_2017,A,746,783,1.44,-5.3,-3.82
TTIDIC,Cai_effects_2021,A,705,766,1.46,-5.43,-3.92
TTPBT-IC,Jia_14.4%_2020,A,720,781,1.43,-5.69,-3.84
TTPTTT-2F,Li_high-performance_2019,A,697,726,1.54,-5.67,-4.04
TTPTTT-4F,Li_high-performance_2019,A,701,738,1.52,-5.69,-4.12
TTPTTT-IC,Li_high-performance_2019,A,685,700,1.6,-5.64,-3.87
TTz1,Peng_simple_2018,A,578,675,1.65,-5.7,-3.86
TTz2,Peng_simple_2018,A,577,614,1.61,-5.5,-3.8
UF-Qx-2Cl,Chang_the_design_2022,A,772,824,1.29,-5.55,-3.89
UF-Qx-2F,Chang_the_design_2022,A,759,804,1.32,-5.53,-3.84
W1,Wang_a 2.16eV_2019,D,,,,-5.65,-4.1
X1-PCIC,Li_near-infrared_2019,A,,,,-5.35,-3.77
X-PCIC,Li_near-infrared_2019,A,,,,-5.37,-3.79
Y1,Wang_rational_2019,A,,,,-5.45,-3.95
Y1,Yuan_enabling_2019,A,,,,-5.45,-3.95
Y14,Luo_semitransparent_2019,A,,,,-5.56,-4.01
Y1-4F,Wang_rational_2019,A,,,,-5.56,-4.11
Y18,Zhang_a disorder-free_2020,A,,,,-5.58,-3.98
Y18-1D,Chen_indole-based_2020,A,,,,-5.43,-3.75
Y19,Cao_a new_2020,A,776,873,1.308,-5.68,-3.95
Y2,Yuan_enabling_2019,A,,,,-5.43,-4.04
Y22,Cai_an asymmetric_2020,A,,,,-5.69,-3.94
Y25,Song_over_2021,A,,,,-5.49,-4.06
Y26,Song_over_2021,A,,,,-5.58,-4.03
Y3,Zhang_a disorder-free_2020,A,,,,-5.55,-4.01
Y5,Li_systematic_2021,A,700,789,1.4,-5.55,-3.87
Y5,Qin_tuning_2019,A,718,785,1.41,-5.55,-3.82
Y5,Yang_A-DAD-A_2020,A,,,,-5.55,-3.87
Y5,Yuan_fused_2019,A,,,,-5.55,-3.87
Y6,Chao_enhanced_2020,A,,,,-5.65,-4.1
Y6,Chen_alkoxy_2021,A,733,826,1.37,-5.71,-3.89
Y6,Chen_all-small-molecule_2019,A,,,,-5.65,-4.1
Y6,Chen_asymmetric_2021,A,732,,1.35,-5.71,-3.89
Y6,Ding_boosting_2021,A,,,,-5.6,-4.1
Y6,Gao_an asymmetrical_2020,A,732,831,1.33,-5.65,-4.09
Y6,Li_asymmetric_2020,A,,,,-5.65,-4.1
Y6,Li_indacenodithieno_2019,A,,,,-5.65,-4.1
Y6,Li_non-fullerene_2021,A,,,,-5.74,-4.07
Y6,Li_roles_2020,A,,,,-5.62,-4.11
Y6,Li_systematic_2021,A,712,817,1.36,-5.63,-4
Y6,Liu_18%_2020,A,,821,,-5.65,-4.1
Y6,Liu_asymmetric_2020,A,733,832,,-5.72,-4
Y6,Ma_adding_2020,A,,,,-5.6,-4.1
Y6,Ma_improving_2020,A,,,,-5.6,-4.1
Y6,Qiu_highly_2020,A,,,,-5.65,-4.1
Y6,Sun_achieving_2019,A,,,,-5.66,-4.08
Y6,Wang_a 2.16eV_2019,A,,,,-5.36,-2.81
Y6,Wang_precise_2021,A,,,,-5.69,-4.14
Y6,Wu_to fluorinate_2021,A,,,,-5.59,-4.26
Y6,Xie_16.5%_2020,A,,,,-5.65,-4.1
Y6,Yang_A-DAD-A_2020,A,,,,-5.65,-4.1
Y6,Yu_tailoring_2020,A,729,,1.36,-5.61,-3.84
Y6,Yuan_a donor_2021,A,,,,-5.73,-4.07
Y6,Yue_13.7%_2019,A,,,,-5.7,-4.08
Y6,Zhao_bithieno_2020,A,,825,1.33,-5.63,-4.3
Y6,Zheng_achieving_2021,A,,,,-5.65,-4.1
Y6,Zheng_benzo_2021,A,,,,-5.65,-4.1
Y6,Zhou_all-small-molecule_2019,A,,,,-5.72,-4.1
Y6-1O,Chen_asymmetric_2021,A,715,,1.43,-5.71,-3.84
Y6-2O,Chen_asymmetric_2021,A,701,,1.45,-5.73,-3.76
Y6-2Se,Yu_tailoring_2020,A,745,,1.34,-5.58,-3.84
Y6-4Cl,Liu_asymmetric_2020,A,746,845,,-5.74,-4.01
Y6-O,Chen_alkoxy_2022,A,702,768,1.52,-5.75,-3.71
Y6-Se,Yu_tailoring_2020,A,745,,1.31,-5.55,-3.83
Y6-Se,Zhang_selenium_2020,A,,,,-5.7,-4.15
Y6-T,Zhang_efficient_2021,A,,,,-5.51,-3.86
Y9,Luo_a new_2020,A,720,808,1.36,-5.59,-3.78
Y9-2Br,Zhang_bromination_2021,A,,855,1.32,-5.53,-3.64
YF25,Fang_narrow_2013,A,,575,,-5.4,-3.7
YITI-0F,Yue_design_2018,A,,,,-5.59,-3.88
YITI-2F,Yue_design_2018,A,,,,-5.6,-3.92
YITI-4F,Yue_design_2018,A,,,,-5.61,-3.99
Y-T,Yin_boosting_2021,A,,,,-5.42,-3.7
ZITI,Liu_design_2018,A,712,747,1.53,-5.59,-3.74
ZITI,Wang_a wide-bandgap_2019,A,,,,-5.53,-3.8
ZITI-C,Zhang_revealing_2019,A,,,,-5.65,-3.81
ZITI-N,Zhang_accurate_2020,A,,,,-5.53,-3.82
ZITI-N,Zhang_revealing_2019,A,,,,-5.6,-3.81
ZITI-S,Zhang_accurate_2020,A,,,,-5.8,-3.87
ZITI-S,Zhang_revealing_2019,A,,,,-5.8,-3.87
ZR1,Zhou_all-small-molecule_2019,D,,,,-5.32,-3.53
